"Timestamp","How old are you? ","Gender","What is your work status? ","Which sport do you follow? ","On a scale of 1-10, how regularly would you say that you watch / play / follow your sport? ","How much time do you invest in the your sport, may it be watching or playing? ","On a scale of 1-10, how much time would you say that you used to invest in sports 5 years back as compared to now? Current time being a 5.","Has there been a drastic change in the amount of time compared to 5 yrs ago? ","If it has decreased, what would the reason be? ","In case of an increase, what reason? ","Preferred viewing platform? ","Which is your favorite team/player","Would you change your mind about your following if your team/player faces a major scandal? ","Have you picked up a new sport in the past 2-3 yrs? ","Name of the Sport?","On a scale of 1-10 how easy was it to watch a match of this sport 5 years ago? ","On a scale of 1-10 how would you rate it now? ","Would you say that your following / viewing pattern has changed because of advent of new Technology such as high speed internet? ","What technology helped you better follow the sport?"
"2019/02/12 8:00:57 pm GMT+5:30","18-22","Male","Student","Cricket;Football;Tennis","10","4-10 hours per week","9","Yes","","Easy accessibility vis-a-vis 5 years back","Live on TV","Andrea Pirlo","No, I would not change my mind due to any such scenario","Yes","Kabaddi","2","7","Yes","New App made for the sport"
"2019/02/12 8:44:20 pm GMT+5:30","18-22","Female","Student","Badminton;Football","5","2-4 hours per week","8","Yes","Less time in hand","","Live on TV","Messi","No, I would not change my mind due to any such scenario","No","NA","8","5","No","High speed internet"
"2019/02/12 8:44:39 pm GMT+5:30","18-22","Male","Employed part time","Cricket;Badminton;Football;Tennis","8","4-10 hours per week","9","Yes","","","","Indian Cricket Team","Yes, an increase in such things will discourage my interest in it","No","NA","7","9","Yes",""
"2019/02/12 8:49:09 pm GMT+5:30","18-22","Male","Student","Football;Tennis;Table Tennis","7","4-10 hours per week","9","Yes","Favourite player/team retired","","Live on TV","Andres Iniesta","No, I would not change my mind due to any such scenario","Yes","Table Tennis","3","8","Yes","High speed internet"
"2019/02/12 8:49:49 pm GMT+5:30","18-22","Male","Student","Cricket;Tennis;Formula one / Moto GP","9","2-4 hours per week","8","No","","Modernisation in the sport","At a stadium/arena","Kimi Raikonnen","Yes, an increase in such things will discourage my interest in it","Yes","Formula 1","10","10","Yes","High speed internet"
"2019/02/12 8:53:23 pm GMT+5:30","18-22","Male","Student","Cricket;Football","5","2-4 hours per week","4","Yes","Less time in hand","","Live on TV","FC Barcelona ","No, I would not change my mind due to any such scenario","No","NA","4","9","Yes","High speed internet"
"2019/02/12 8:53:38 pm GMT+5:30","18-22","Female","Student","Cricket","1","2-4 hours per week","9","Yes","Less time in hand","","At a stadium/arena","INDIA","Yes, an increase in such things will discourage my interest in it","No","NA","5","5","No",""
"2019/02/12 8:53:44 pm GMT+5:30","18-22","Female","Student","Cricket","1","2-4 hours per week","3","Yes","Lost interest in the sport","More informed about the happenings in it","Live on TV","Kohli","Yes, an increase in such things will discourage my interest in it","No","Na","7","3","Yes","High speed internet"
"2019/02/12 8:57:18 pm GMT+5:30","18-22","Female","Student","Badminton","1","Less than 2 hours","1","Yes","Less time in hand","","Mobile phone streaming apps","Saina Nehwal","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","High speed internet"
"2019/02/12 8:58:02 pm GMT+5:30","18-22","Male","Student","Football","8","4-10 hours per week","4","No","Less time in hand","","Live on TV","Barcelona ","Yes, an increase in such things will discourage my interest in it","No","NA","5","5","Yes","High speed internet"
"2019/02/12 8:59:57 pm GMT+5:30","18-22","Female","Student","Cricket","6","Less than 2 hours","6","Yes","Less time in hand","","At a stadium/arena","India/Dhoni","No, I would not change my mind due to any such scenario","No","NA","9","9","Yes","Affordable data plans"
"2019/02/12 9:00:42 pm GMT+5:30","15-18","Female","Student","Cricket;Football","1","Less than 2 hours","4","Yes","Lost interest in the sport","","Live on TV","M.S. Dhoni","Yes, an increase in such things will discourage my interest in it","No","NA","5","5","Yes","High speed internet"
"2019/02/12 9:01:11 pm GMT+5:30","18-22","Female","Student","Cricket","1","Less than 2 hours","1","No","","","Live on TV","Kohli","Yes, an increase in such things will discourage my interest in it","No","Na","10","10","No",""
"2019/02/12 9:03:19 pm GMT+5:30","18-22","Female","Student","Cricket","1","Less than 2 hours","1","No","Lost interest in the sport","More informed about the happenings in it","At a stadium/arena","M S Dhoni","No, I would not change my mind due to any such scenario","No","NA","8","8","Yes","Affordable data plans"
"2019/02/12 9:03:23 pm GMT+5:30","18-22","Female","Student","Cricket","2","Less than 2 hours","2","No","","","Mobile phone streaming apps","Sachin, dhoni","Yes, an increase in such things will discourage my interest in it","Yes","Badminton","3","5","Yes","High speed internet"
"2019/02/12 9:03:26 pm GMT+5:30","15-18","Female","Student","Cricket;Badminton;Kabaddi;Tennis","10","4-10 hours per week","6","Yes","","More informed about the happenings in it","Mobile phone streaming apps","Roger federer","Yes, an increase in such things will discourage my interest in it","Yes","kabaddi ","4","8","Yes","Establishment of a league"
"2019/02/12 9:03:45 pm GMT+5:30","15-18","Female","Student","Badminton;Football","4","Less than 2 hours","5","No","","","Live on TV","Barcelona ","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","High speed internet"
"2019/02/12 9:03:54 pm GMT+5:30","18-22","Female","Student","Cricket","1","Less than 2 hours","4","Yes","Lost interest in the sport","","Live on TV","Rohit sharma","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","High speed internet"
"2019/02/12 9:03:57 pm GMT+5:30","18-22","Female","Student","Cricket","2","Less than 2 hours","2","Yes","Less time in hand","","Mobile phone streaming apps","M S Dhoni ","No, I would not change my mind due to any such scenario","No","NA","7","8","Yes","New App made for the sport"
"2019/02/12 9:05:13 pm GMT+5:30","18-22","Male","Student","Cricket;Kabaddi","7","2-4 hours per week","9","Yes","Less time in hand","","Live on TV","Mahendra Singh Dhoni","Yes, an increase in such things will discourage my interest in it","Yes","Kabaddi","10","5","Yes","Affordable data plans"
"2019/02/12 9:05:19 pm GMT+5:30","18-22","Female","Student","Cricket","5","4-10 hours per week","4","No","Less time in hand","","Live on TV","AB de Villers and MS Dhoni","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","Change in Match timings"
"2019/02/12 9:06:18 pm GMT+5:30","18-22","Female","Student","Swimming","6","Less than 2 hours","10","Yes","Less time in hand","","","Nathan Adrian ","Yes, an increase in such things will discourage my interest in it","No","NA","5","5","Yes",""
"2019/02/12 9:07:25 pm GMT+5:30","15-18","Female","Student","Cricket","2","Less than 2 hours","8","Yes","Less time in hand","","At a stadium/arena","David Beckham","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","New App made for the sport"
"2019/02/12 9:07:37 pm GMT+5:30","18-22","Female","Student","Football;Wrestling","2","Less than 2 hours","4","Yes","Less time in hand","","At a stadium/arena","Lionel Messi","No, I would not change my mind due to any such scenario","No","NA","9","4","No","High speed internet"
"2019/02/12 9:09:22 pm GMT+5:30","18-22","Female","Employed part time","Badminton","2","Less than 2 hours","7","Yes","Less time in hand","","Live on TV","Saina Nehwal ","Yes, an increase in such things will discourage my interest in it","No","NA","6","2","Yes","Nothing actually. No time"
"2019/02/12 9:10:16 pm GMT+5:30","15-18","Female","Student","Cricket","4","Less than 2 hours","8","Yes","Lost interest in the sport","More informed about the happenings in it","Live on TV","MS Dhoni. ","Yes, an increase in such things will discourage my interest in it","No","NA","5","6","No",""
"2019/02/12 9:10:31 pm GMT+5:30","18-22","Female","Student","Cricket;Kabaddi","7","2-4 hours per week","8","Yes","Less time in hand","More informed about the happenings in it","Live on TV","M.S.Dhoni(Cricket), Fazel Atrachali(Kabaddi)","Yes, an increase in such things will discourage my interest in it","Yes","Kabaddi","3","8","Yes","Affordable TV packs"
"2019/02/12 9:11:09 pm GMT+5:30","18-22","Female","Student","Cricket","6","2-4 hours per week","5","No","Less time in hand","","Live on TV","India, MS Dhoni, Hardik Pandya","No, I would not change my mind due to any such scenario","No","NA","10","10","No",""
"2019/02/12 9:12:23 pm GMT+5:30","15-18","Male","Student","Cricket;Volleyball","7","Less than 2 hours","9","Yes","Less time in hand","","At a stadium/arena","Jasprit Bumrah","No, I would not change my mind due to any such scenario","No","NA","6","5","Yes","High speed internet"
"2019/02/12 9:14:59 pm GMT+5:30","18-22","Male","Student","Football","10","More","5","No","","","At a stadium/arena","Fc Barcelona","Yes, an increase in such things will discourage my interest in it","No","NA","3","8","No","New App made for the sport"
"2019/02/12 9:15:41 pm GMT+5:30","18-22","Male","Student","Football","10","4-10 hours per week","4","Yes","Less time in hand","","Live on TV","Barca","No, I would not change my mind due to any such scenario","Yes","Cricket","4","6","Yes","New App made for the sport"
"2019/02/12 9:15:42 pm GMT+5:30","15-18","Female","Student","Cricket","1","Less than 2 hours","5","Yes","Less time in hand","","At a stadium/arena","Virat Kohli","No, I would not change my mind due to any such scenario","No","NA","4","6","Yes","High speed internet"
"2019/02/12 9:16:24 pm GMT+5:30","18-22","Male","Student","Cricket","1","Less than 2 hours","1","No","Lost interest in the sport","","Live on TV","Sachin Tendulkar","No, I would not change my mind due to any such scenario","No","NA","5","5","Yes","High speed internet"
"2019/02/12 9:21:21 pm GMT+5:30","18-22","Male","Student","Cricket;Badminton;Wrestling","6","4-10 hours per week","7","Yes","","Modernisation in the sport","Live on TV","Rohit Sharma from team India","No, I would not change my mind due to any such scenario","No","NA","6","8","Yes","High speed internet"
